epoch,neuron,correctness
1,1,0.0
11,1,0.0
21,1,0.25
31,1,0.25
41,1,0.5
51,1,0.5
61,1,0.5
71,1,0.5
81,1,0.5
91,1,0.5
101,1,0.5
111,1,0.5
121,1,0.5
131,1,0.5
141,1,0.5
151,1,0.5
161,1,0.5
171,1,0.5
181,1,0.5
191,1,0.5
201,1,0.5
211,1,0.5
221,1,0.5
231,1,0.5
241,1,0.5
251,1,0.5
261,1,0.5
271,1,0.5
281,1,0.5
291,1,0.5
301,1,0.5
311,1,0.5
321,1,0.5
331,1,0.5
341,1,0.5
351,1,0.5
361,1,0.5
371,1,0.5
381,1,0.5
391,1,0.5
401,1,0.5
411,1,0.5
421,1,0.5
431,1,0.5
441,1,0.5
451,1,0.5
461,1,0.5
471,1,0.5
481,1,0.5
491,1,0.5
501,1,0.5
511,1,0.5
521,1,0.5
531,1,0.5
541,1,0.5
551,1,0.5
561,1,0.5
571,1,0.5
581,1,0.5
591,1,0.5
601,1,0.5
611,1,0.5
621,1,0.5
631,1,0.5
641,1,0.5
651,1,0.5
661,1,0.5
671,1,0.5
681,1,0.5
691,1,0.5
701,1,0.5
711,1,0.5
721,1,0.5
731,1,0.5
741,1,0.5
751,1,0.5
761,1,0.5
771,1,0.5
781,1,0.5
791,1,0.5
801,1,0.5
811,1,0.5
821,1,0.5
831,1,0.5
841,1,0.5
851,1,0.5
861,1,0.5
871,1,0.5
881,1,0.5
891,1,0.5
901,1,0.5
911,1,0.5
921,1,0.5
931,1,0.5
941,1,0.75
951,1,0.75
961,1,0.75
971,1,0.75
981,1,0.75
991,1,0.75
1001,1,0.75
1,2,0.0
11,2,0.0
21,2,0.5
31,2,0.5
41,2,0.5
51,2,0.5
61,2,0.5
71,2,0.5
81,2,0.75
91,2,0.75
101,2,0.75
111,2,0.75
121,2,0.75
131,2,0.75
141,2,0.75
151,2,0.75
161,2,0.75
171,2,0.75
181,2,0.75
191,2,0.75
201,2,0.75
211,2,0.75
221,2,0.75
231,2,0.75
241,2,0.75
251,2,0.75
261,2,0.75
271,2,0.75
281,2,0.75
291,2,0.75
301,2,0.75
311,2,0.75
321,2,0.75
331,2,0.75
341,2,0.75
351,2,0.75
361,2,0.75
371,2,0.75
381,2,0.75
391,2,0.75
401,2,0.75
411,2,0.75
421,2,0.75
431,2,0.75
441,2,0.75
451,2,0.75
461,2,0.75
471,2,1.0
481,2,1.0
491,2,1.0
501,2,1.0
511,2,1.0
521,2,1.0
531,2,1.0
541,2,1.0
551,2,1.0
561,2,1.0
571,2,1.0
581,2,1.0
591,2,1.0
601,2,1.0
611,2,1.0
621,2,1.0
631,2,1.0
641,2,1.0
651,2,1.0
661,2,1.0
671,2,1.0
681,2,1.0
691,2,1.0
701,2,1.0
711,2,1.0
721,2,1.0
731,2,1.0
741,2,1.0
751,2,1.0
761,2,1.0
771,2,1.0
781,2,1.0
791,2,1.0
801,2,1.0
811,2,1.0
821,2,1.0
831,2,1.0
841,2,1.0
851,2,1.0
861,2,1.0
871,2,1.0
881,2,1.0
891,2,1.0
901,2,1.0
911,2,1.0
921,2,1.0
931,2,1.0
941,2,1.0
951,2,1.0
961,2,1.0
971,2,1.0
981,2,1.0
991,2,1.0
1001,2,1.0
1,3,0.0
11,3,0.0
21,3,0.75
31,3,0.75
41,3,0.75
51,3,0.75
61,3,0.75
71,3,0.75
81,3,0.75
91,3,0.75
101,3,0.75
111,3,0.75
121,3,0.75
